"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2010-11 and 2011-12       ",,,,,,,,,,,,,,,,,,,,
Field of study,2010-11,,,,,,,,,,2011-12,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","981,780","662,522","113,898","93,321","65,776","63,204","2,572","7,135","12,681","26,447","1,025,729","679,488","121,908","102,586","68,637","66,007","2,630","7,015","16,259","29,836"
Agriculture and natural resources .........................,"13,948","11,573",417,811,647,627,20,121,150,229,"15,476","12,659",520,895,746,714,32,140,260,256
Architecture and related services ..................................,"4,136","2,638",198,502,481,473,8,24,57,236,"4,161","2,624",224,495,440,431,9,21,57,300
"Area, ethnic, cultural, gender, and group studies ...................................","6,299","3,125",998,"1,034",681,653,28,120,198,143,"6,475","3,108",944,"1,137",773,747,26,132,214,167
Biological and biomedical sciences .......................................,"53,111","32,779","4,874","4,183","8,577","8,443",134,325,707,"1,666","56,304","34,294","5,074","4,756","9,190","9,035",155,366,974,"1,650"
Business ......................................................,"178,012","108,908","26,233","17,392","13,678","13,213",465,"1,188","1,873","8,740","176,733","104,469","26,706","18,187","13,732","13,189",543,"1,167","2,179","10,293"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","53,759","38,641","5,748","4,642","2,462","2,348",114,330,697,"1,239","53,849","37,927","5,998","4,885","2,450","2,321",129,290,884,"1,415"
Communications technologies .......................................................................,"1,350",882,185,139,80,76,4,5,19,40,"1,378",900,177,118,78,74,4,10,31,64
Computer and information sciences ......................................,"7,594","4,124","1,503",628,794,778,16,41,110,394,"8,611","4,530","1,654",747,987,943,44,57,148,488
Construction trades ..................................................,25,22,1,2,0,0,0,0,0,0,18,13,1,3,0,0,0,0,0,1
Education ............................................................,"82,797","67,884","5,423","5,488","1,841","1,445",396,669,631,861,"84,028","68,376","5,864","5,770","1,709","1,564",145,595,853,861
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"14,257","8,738",844,"1,158","2,130","2,103",27,84,238,"1,065","15,553","9,446",898,"1,324","2,242","2,202",40,72,266,"1,305"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","1,718","1,060",271,153,111,110,1,26,22,75,"1,684","1,035",324,153,68,66,2,18,28,58
English language and literature/letters ...................................,"35,828","26,969","2,911","3,037","1,744","1,662",82,229,540,398,"36,791","27,153","3,080","3,368","1,766","1,694",72,215,799,410
Family and consumer sciences/human sciences .............................,"19,682","14,236","2,222","1,606",990,957,33,163,214,251,"20,735","14,724","2,500","1,801","1,014",987,27,149,274,273
"Foreign languages, literatures, and linguistics .................................","14,986","10,049",662,"2,662",936,923,13,80,281,316,"15,134","9,933",692,"2,954",884,870,14,61,304,306
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"121,894","87,586","14,758","8,232","7,675","7,344",331,803,"1,210","1,630","138,572","97,724","17,062","9,892","9,477","9,029",448,828,"1,814","1,775"
"Homeland security, law enforcement, and firefighting ............................","23,241","11,820","6,197","4,006",541,485,56,225,313,139,"26,027","12,820","7,106","4,605",613,536,77,256,468,159
Legal professions and studies ..........................................,"3,112","1,887",613,402,137,132,5,17,36,20,"3,204","1,885",636,423,149,142,7,23,48,40
