"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2013-14 and 2014-15       ",,,,,,,,,,,,,,,,,,,,
Field of study,2013-14,,,,,,,,,,2014-15,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","1,068,245","682,989","123,147","122,113","71,818","68,881","2,937","6,613","27,285","34,280","1,082,265","679,928","123,440","130,990","72,883","70,125","2,758","6,145","31,966","36,913"
Agriculture and natural resources .........................,"17,871","14,085",608,"1,294",820,766,54,121,538,405,"18,692","14,513",612,"1,513",877,828,49,131,604,442
Architecture and related services ..................................,"3,975","2,360",237,531,385,379,6,13,87,362,"3,974","2,178",183,571,450,442,8,17,130,445
"Area, ethnic, cultural, gender, and group studies ...................................","5,809","2,681",805,"1,143",579,559,20,133,283,185,"5,489","2,457",836,"1,131",501,479,22,108,285,171
Biological and biomedical sciences .......................................,"61,217","36,503","5,350","5,965","9,503","9,332",171,303,"1,903","1,690","64,794","38,048","5,670","6,977","9,763","9,619",144,264,"2,356","1,716"
Business ......................................................,"169,664","97,933","22,920","19,366","13,110","12,515",595,"1,112","3,447","11,776","172,489","98,864","22,562","20,536","13,215","12,704",511,996,"3,955","12,361"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","56,638","38,223","6,206","6,183","2,439","2,337",102,250,"1,633","1,704","58,799","38,475","6,433","7,129","2,465","2,347",118,217,"2,026","2,054"
Communications technologies .......................................................................,"1,572",963,208,145,125,119,6,7,62,62,"1,768","1,083",198,185,130,123,7,11,93,68
Computer and information sciences ......................................,"9,951","5,150","1,592",908,"1,316","1,277",39,62,288,635,"10,741","5,354","1,579","1,001","1,592","1,542",50,67,365,783
Construction trades ..................................................,25,11,1,9,2,2,0,0,1,1,18,9,0,3,1,1,0,1,0,4
Education ............................................................,"78,481","62,449","5,901","5,942","1,720","1,550",170,597,"1,211",661,"73,150","57,400","5,583","5,896","1,648","1,507",141,534,"1,402",687
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"18,263","10,813",963,"1,716","2,510","2,474",36,82,530,"1,649","19,603","11,453",983,"1,954","2,670","2,636",34,75,685,"1,783"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","1,726","1,072",266,176,80,76,4,21,32,79,"1,918","1,185",300,192,97,94,3,15,54,75
English language and literature/letters ...................................,"34,633","24,695","2,979","3,734","1,511","1,459",52,167,"1,121",426,"31,794","22,482","2,643","3,576","1,273","1,222",51,153,"1,244",423
Family and consumer sciences/human sciences .............................,"21,680","14,526","2,627","2,416","1,137","1,075",62,164,499,311,"21,572","14,061","2,735","2,596","1,111","1,078",33,140,596,333
"Foreign languages, literatures, and linguistics .................................","14,066","8,773",661,"3,029",799,776,23,44,451,309,"13,426","8,052",676,"2,989",806,791,15,47,521,335
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"167,845","114,748","20,307","14,663","12,025","11,425",600,919,"3,355","1,828","182,570","124,375","21,314","17,059","12,854","12,255",599,965,"4,231","1,772"
"Homeland security, law enforcement, and firefighting ............................","29,009","14,127","7,490","5,612",658,553,105,217,691,214,"29,083","13,697","7,423","6,027",669,576,93,239,835,193
Legal professions and studies ..........................................,"3,057","1,708",561,452,147,142,5,38,84,67,"3,072","1,751",569,489,114,106,8,25,90,34
