"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2010-11 and 2011-12       ",,,,,,,,,,,,,,,,,,,,
Field of study,2010-11,,,,,,,,,,2011-12,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","734,133","519,883","59,119","60,742","55,290","53,590","1,700","4,798","8,123","26,178","765,317","532,077","63,610","67,060","57,510","55,514","1,996","4,468","10,922","29,670"
Agriculture and natural resources .........................,"14,675","12,705",394,658,474,453,21,119,118,207,"15,453","13,289",417,715,512,490,22,116,194,210
Architecture and related services ..................................,"5,696","3,981",295,726,393,384,9,27,59,215,"5,567","3,797",280,679,444,440,4,27,69,271
"Area, ethnic, cultural, gender, and group studies ...................................","2,801","1,409",449,412,305,290,15,86,68,72,"2,757","1,394",379,456,315,296,19,60,80,73
Biological and biomedical sciences .......................................,"36,892","23,681","2,011","2,777","6,657","6,565",92,242,471,"1,053","39,545","25,271","2,157","3,116","6,979","6,872",107,224,657,"1,141"
Business ......................................................,"187,081","129,878","16,339","15,002","13,832","13,370",462,"1,081","1,668","9,281","190,082","128,226","17,540","16,162","14,322","13,781",541,975,"2,169","10,688"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","29,515","21,936","3,013","2,316","1,212","1,144",68,156,311,571,"29,921","21,907","3,211","2,471","1,174","1,107",67,137,406,615
Communications technologies .......................................................................,"3,508","2,478",334,355,184,181,3,22,50,85,"3,604","2,348",368,445,190,184,6,16,88,149
Computer and information sciences ......................................,"35,478","23,907","3,411","2,762","3,122","3,026",96,210,435,"1,631","38,773","25,681","3,756","3,261","3,426","3,311",115,200,577,"1,872"
Construction trades ..................................................,303,273,7,9,8,5,3,1,1,4,359,313,9,23,9,9,0,1,2,2
Education ............................................................,"21,195","17,350","1,692","1,097",449,398,51,187,156,264,"21,757","17,708","1,777","1,196",441,390,51,173,198,264
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"62,119","42,980","2,401","4,391","7,214","7,117",97,250,687,"4,196","65,829","44,791","2,429","4,944","7,491","7,359",132,246,895,"5,033"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","14,469","10,929","1,235","1,076",600,584,16,129,115,385,"14,847","11,141","1,359","1,008",621,600,21,131,150,437
English language and literature/letters ...................................,"16,916","13,178","1,031","1,470",729,705,24,103,246,159,"16,976","13,007","1,058","1,614",745,716,29,104,312,136
Family and consumer sciences/human sciences .............................,"2,762","1,829",401,231,181,175,6,33,24,63,"2,693","1,747",432,214,188,179,9,15,37,60
"Foreign languages, literatures, and linguistics .................................","6,720","4,772",260,"1,022",385,374,11,48,103,130,"6,630","4,679",252,"1,021",377,365,12,38,138,125
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"21,536","14,469","2,361","1,650","2,239","2,162",77,160,202,455,"24,868","16,389","2,704","2,101","2,661","2,534",127,128,354,531
"Homeland security, law enforcement, and firefighting ............................","24,361","16,268","3,490","3,235",808,740,68,214,225,121,"27,740","18,231","3,983","3,867",956,854,102,178,374,151
Legal professions and studies ..........................................,"1,317",882,174,145,82,79,3,9,17,8,"1,388",900,185,163,83,81,2,6,23,28
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,488","11,422","2,331","1,329",547,494,53,175,223,461,"16,944","11,784","2,317","1,406",626,570,56,185,282,344
