Occupation,Number of men,Number of women,Percentage of women in occupational group,Median earnings total
Accountants and auditors,656553,972271,59.7,63740
Actuaries,17769,7428,29.5,108576
Administrative services managers,82550,53881,39.5,64208
Advertising and promotions managers,17752,25244,58.7,67082
Advertising sales agents,72790,75473,50.9,61018
Aerospace engineers,102611,12345,10.7,102350
"Agents and business managers of artists, performers, and athletes",17328,16009,48,51728
Agricultural and food science technicians,16564,11104,40.1,45039
Agricultural and food scientists,13559,7532,35.7,70220
Agricultural inspectors,7187,5538,43.5,49889
Animal trainers,14018,15037,51.8,29978
Appraisers and assessors of real estate,50409,23281,31.6,60533
"Architects, except naval",119954,37614,23.9,76154
Architectural and engineering managers,131956,12856,8.9,130293
"Archivists, curators, and museum technicians",13889,22371,61.7,48374
Artists and related workers,76519,45252,37.2,45124
"Athletes, coaches, umpires, and related workers",91380,32125,26,46393
Automotive service technicians and mechanics,717661,8776,1.2,36634
"Baggage porters, bellhops, and concierges",47690,12722,21.1,31604
"Bailiffs, correctional officers, and jailers",277833,97887,26.1,44807
Bakers,68168,80114,54,25848
Barbers,56579,12285,17.8,25416
Bartenders,115120,111727,49.3,29375
Bill and account collectors,35970,87468,70.9,35448
Billing and posting clerks,45845,350453,88.4,35026
Biological scientists,35893,29218,44.9,61171
Biological technicians,8401,7815,48.2,49041
"Bookkeeping, accounting, and auditing clerks",105920,723611,87.2,39329
Budget analysts,16123,26287,62,71237
Bus drivers,178493,101735,36.3,35222
"Business operations specialists, all other",110674,125879,53.2,61811
"Butchers and other meat, poultry, and fish processing workers",159194,43500,21.5,29474
Carpenters,846846,16610,1.9,36344
Cashiers,293166,726198,71.2,21000
Chefs and head cooks,276631,70052,20.2,31461
Chemical engineers,46688,11124,19.2,100425
Chemical technicians,40491,16250,28.6,52188
Chemists and materials scientists,49013,28010,36.4,70594
Chief executives,813898,254360,23.8,130266
Childcare workers,34354,516932,93.8,21395
Chiropractors,31857,9103,22.2,80466
Civil engineers,271698,39309,12.6,86606
"Claims adjusters, appraisers, examiners, and investigators",105531,165598,61.1,52582
