"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2014-15 and 2015-16       ",,,,,,,,,,,,,,,,,,,,
Field of study,2014-15,,,,,,,,,,2015-16,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","812,693","530,418","69,316","86,881","61,080","58,848","2,232","4,061","22,245","38,692","821,779","522,860","69,873","92,946","63,209","61,166","2,043","3,823","25,153","43,915"
Agriculture and natural resources .........................,"17,585","14,723",470,"1,035",536,492,44,121,386,314,"17,622","14,561",440,"1,207",518,492,26,112,440,344
Architecture and related services ..................................,"5,116","3,133",263,805,401,392,9,28,146,340,"4,854","2,859",275,738,362,350,12,20,130,470
"Area, ethnic, cultural, gender, and group studies ...................................","2,294","1,100",299,361,256,233,23,66,133,79,"2,227",993,316,439,200,185,15,76,109,94
Biological and biomedical sciences .......................................,"45,104","27,536","2,615","4,585","7,443","7,298",145,175,"1,570","1,180","45,579","27,275","2,656","5,037","7,436","7,327",109,170,"1,721","1,284"
Business ......................................................,"191,288","123,703","16,629","19,490","13,431","12,918",513,835,"4,161","13,039","196,312","125,533","16,424","20,537","13,507","13,009",498,841,"4,932","14,538"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","31,853","21,367","3,825","3,591","1,179","1,108",71,121,904,866,"32,439","21,035","4,121","3,839","1,231","1,164",67,111,"1,117",985
Communications technologies .......................................................................,"3,367","2,026",419,439,174,163,11,18,196,95,"3,099","1,866",370,401,141,129,12,18,170,133
Computer and information sciences ......................................,"48,844","30,156","4,584","4,590","5,373","5,236",137,234,"1,317","2,590","52,333","31,227","4,474","5,075","6,585","6,433",152,193,"1,679","3,100"
Construction trades ..................................................,229,177,4,40,4,4,0,1,3,0,208,160,3,32,4,4,0,0,6,3
Education ............................................................,"18,467","14,342","1,675","1,304",432,393,39,149,357,208,"17,427","13,104","1,677","1,440",443,396,47,136,443,184
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"78,249","50,463","2,945","7,124","8,580","8,467",113,241,"2,093","6,803","84,516","53,080","3,210","8,237","9,272","9,145",127,250,"2,489","7,978"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","14,693","10,149","1,326","1,324",638,593,45,136,304,816,"14,545","10,033","1,235","1,277",695,673,22,101,291,913
English language and literature/letters ...................................,"14,055","10,138","1,032","1,601",551,524,27,72,495,166,"12,776","8,976",928,"1,627",534,510,24,65,482,164
Family and consumer sciences/human sciences .............................,"3,012","1,813",455,336,235,228,7,13,86,74,"2,982","1,752",451,341,225,207,18,10,100,103
"Foreign languages, literatures, and linguistics .................................","6,066","4,019",235,"1,054",331,316,15,21,257,149,"5,755","3,665",243,"1,139",315,306,9,26,218,149
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"33,658","21,105","3,604","3,581","3,713","3,525",188,174,846,635,"36,261","22,131","3,937","4,149","4,074","3,896",178,170,"1,050",750
"Homeland security, law enforcement, and firefighting ............................","33,640","20,808","5,048","5,477","1,116",951,165,218,747,226,"32,598","19,637","4,958","5,610","1,024",884,140,212,851,306
Legal professions and studies ..........................................,"1,348",850,167,185,64,59,5,12,35,35,"1,297",759,172,195,79,78,1,6,51,35
