"Table 322.30. Bachelor's degrees conferred by postsecondary institutions, by race/ethnicity and field of study: 2015-16 and 2016-17       ",,,,,,,,,,,,,,,,,,,,
Field of study,2015-16,,,,,,,,,,2016-17,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","1,920,750","1,197,323","194,408","235,190","138,257","133,601","4,656","9,735","61,584","84,253","1,956,032","1,196,007","196,300","252,166","144,078","139,527","4,551","9,582","66,526","91,373"
Agriculture and natural resources .........................,"36,995","29,477","1,105","2,922","1,320","1,266",54,212,"1,169",790,"37,719","29,577","1,180","3,192","1,381","1,315",66,250,"1,235",904
Architecture and related services ..................................,"8,825","4,998",469,"1,318",787,772,15,30,273,950,"8,573","4,630",466,"1,355",742,719,23,23,271,"1,086"
"Area, ethnic, cultural, gender, and group studies ...................................","7,840","3,470","1,154","1,602",713,686,27,188,428,285,"7,720","3,171","1,142","1,700",701,663,38,163,519,324
Biological and biomedical sciences .......................................,"113,794","66,584","8,781","12,883","17,563","17,325",238,474,"4,262","3,247","116,759","66,725","9,334","14,138","17,920","17,688",232,455,"4,688","3,499"
Business ......................................................,"371,690","224,640","38,239","42,557","27,215","26,211","1,004","1,847","9,779","27,413","381,353","228,806","38,204","45,609","28,045","27,098",947,"1,791","10,590","28,308"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","92,551","59,360","10,813","11,598","3,748","3,591",157,341,"3,453","3,238","93,778","58,701","11,153","12,500","3,806","3,622",184,296,"3,778","3,544"
Communications technologies .......................................................................,"4,824","2,912",572,586,255,239,16,27,255,217,"4,615","2,586",626,647,278,259,19,24,200,254
Computer and information sciences ......................................,"64,402","37,033","6,004","6,221","8,615","8,411",204,243,"2,202","4,084","71,420","39,492","6,391","7,233","10,425","10,238",187,268,"2,471","5,140"
Construction trades ..................................................,225,168,5,39,4,4,0,0,6,3,153,103,1,43,1,1,0,0,2,3
Education ............................................................,"87,221","66,992","6,611","7,841","2,140","1,962",178,595,"2,100",942,"85,118","64,688","6,287","8,277","2,272","2,134",138,552,"2,143",899
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"106,789","65,841","4,267","10,502","12,368","12,207",161,315,"3,400","10,096","115,640","69,987","4,505","11,871","13,364","13,203",161,301,"3,819","11,793"
"Engineering technologies and engineering-related 
   fields\1\ ....................................","16,548","11,244","1,519","1,498",806,778,28,122,353,"1,006","17,665","11,765","1,522","1,708",778,749,29,119,440,"1,333"
English language and literature/letters ...................................,"42,797","29,855","3,456","5,226","1,771","1,700",71,201,"1,716",572,"41,317","28,424","3,258","5,352","1,804","1,741",63,185,"1,720",574
Family and consumer sciences/human sciences .............................,"25,389","16,146","3,201","3,269","1,347","1,295",52,137,798,491,"25,077","15,305","3,221","3,619","1,388","1,338",50,133,890,521
"Foreign languages, literatures, and linguistics .................................","18,436","11,005",913,"4,097","1,058","1,039",19,73,786,504,"17,642","10,273",859,"4,074","1,071","1,051",20,48,781,536
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"228,907","151,186","26,469","24,113","17,492","16,738",754,"1,075","5,943","2,629","238,014","155,670","27,363","26,381","18,290","17,533",757,"1,198","6,459","2,653"
