"Table 322.20. Bachelor's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected
              years, 1976-77 through 2016-17     ",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred to U.S. citizens and permanent residents,,,,,,
,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Total,,,,,,,,,,,,,,,
1976-77\1\ ............,"917,900","807,688","58,636","18,743","13,793","3,326",---,"15,714",100.0,89.5,6.5,2.1,1.5,0.4,---
1980-81\2\ .............,"934,800","807,319","60,673","21,832","18,794","3,593",---,"22,589",100.0,88.5,6.7,2.4,2.1,0.4,---
1990-91 ............,"1,094,538","914,093","66,375","37,342","42,529","4,583",---,"29,616",100.0,85.8,6.2,3.5,4.0,0.4,---
1999-2000 ............,"1,237,875","929,102","108,018","75,063","77,909","8,717",---,"39,066",100.0,77.5,9.0,6.3,6.5,0.7,---
2000-01 ............,"1,244,171","927,357","111,307","77,745","78,902","9,049",---,"39,811",100.0,77.0,9.2,6.5,6.6,0.8,---
,,,,,,,,,,,,,,,
2002-03 ............,"1,348,811","994,616","124,253","89,029","87,964","9,875",---,"43,074",100.0,76.2,9.5,6.8,6.7,0.8,---
2003-04 ............,"1,399,542","1,026,114","131,241","94,644","92,073","10,638",---,"44,832",100.0,75.7,9.7,7.0,6.8,0.8,---
2004-05 ............,"1,439,264","1,049,141","136,122","101,124","97,209","10,307",---,"45,361",100.0,75.3,9.8,7.3,7.0,0.7,---
2005-06 ............,"1,485,104","1,075,471","142,405","107,575","102,371","10,938",---,"46,344",100.0,74.7,9.9,7.5,7.1,0.8,---
2006-07 ............,"1,524,729","1,100,308","146,767","114,962","105,287","11,463",---,"45,942",100.0,74.4,9.9,7.8,7.1,0.8,---
,,,,,,,,,,,,,,,
2007-08 ............,"1,563,734","1,123,246","152,627","122,770","109,177","11,509",---,"44,405",100.0,73.9,10.0,8.1,7.2,0.8,---
2008-09 ............,"1,601,399","1,144,628","156,603","129,473","112,581","12,221",---,"45,893",100.0,73.6,10.1,8.3,7.2,0.8,---
2009-10 ............,"1,649,919","1,167,322","164,789","140,426","117,391","12,405",---,"47,586",100.0,72.9,10.3,8.8,7.3,0.8,---
