Major Field of Study,Median Base Pay (All Jobs in First 5 Years)
Computer Science and Engineering,70000
Electrical Engineering,68438
Mechanical Engineering,66040
Chemical Engineering,65000
Information Technology,63500
Civil Engineering,63000
Nursing,63000
Industrial Engineering,62270
Management Information Systems,60960
Statistics,60000
Biomedical Engineering,57200
Economics,55000
Finance,55000
Physics,52500
Accounting,51562
Mathematics,51250
Architecture,50000
Biotechnology,48442
Biochemistry,46406
Philosophy,46328
Business,46302
Marketing,46000
Political Science,45000
International Relations,45000
History,45000
