"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2011-12 and 2012-13       ",,,,,,,,,,,,,,,,,,,,
Field of study,2011-12,,,,,,,,,,2012-13,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","1,026,391","679,954","122,180","102,653","68,656","66,025","2,631","7,022","16,289","29,637","1,052,933","686,494","123,874","112,607","70,342","67,535","2,807","6,829","20,306","32,481"
Agriculture and natural resources .........................,"15,487","12,666",522,896,747,715,32,140,260,256,"16,975","13,521",542,"1,186",862,820,42,146,349,369
Architecture and related services ..................................,"4,161","2,624",224,495,440,431,9,21,57,300,"4,176","2,568",221,501,446,439,7,14,78,348
"Area, ethnic, cultural, gender, and group studies ...................................","6,471","3,105",944,"1,137",773,747,26,132,214,166,"6,227","3,011",828,"1,169",679,648,31,141,256,143
Biological and biomedical sciences .......................................,"56,308","34,293","5,077","4,760","9,192","9,038",154,366,974,"1,646","58,808","35,562","5,281","5,313","9,324","9,180",144,317,"1,235","1,776"
Business ......................................................,"177,055","104,719","26,810","18,194","13,740","13,196",544,"1,171","2,191","10,230","173,034","100,951","25,161","18,593","13,201","12,592",609,"1,100","2,633","11,395"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","53,850","37,925","6,000","4,885","2,450","2,321",129,289,885,"1,416","54,670","37,821","5,796","5,525","2,488","2,360",128,281,"1,156","1,603"
Communications technologies .......................................................................,"1,379",900,177,119,78,74,4,10,31,64,"1,465",953,176,141,90,87,3,2,34,69
Computer and information sciences ......................................,"8,610","4,523","1,657",749,988,943,45,57,150,486,"9,088","4,764","1,655",881,"1,029","1,002",27,74,203,482
Construction trades ..................................................,18,13,1,3,0,0,0,0,0,1,19,13,0,6,0,0,0,0,0,0
Education ............................................................,"83,942","68,343","5,861","5,776","1,709","1,564",145,594,856,803,"82,842","66,712","6,408","5,861","1,660","1,510",150,556,953,692
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"15,552","9,444",899,"1,324","2,241","2,201",40,72,267,"1,305","16,555","9,926",883,"1,476","2,377","2,339",38,83,340,"1,470"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","1,705","1,051",328,155,68,66,2,18,28,57,"1,751","1,094",270,175,104,99,5,18,20,70
English language and literature/letters ...................................,"36,789","27,155","3,080","3,369","1,766","1,694",72,215,799,405,"35,909","26,241","3,013","3,554","1,661","1,603",58,181,865,394
Family and consumer sciences/human sciences .............................,"20,748","14,727","2,508","1,802","1,015",988,27,149,275,272,"21,062","14,602","2,604","1,984","1,137","1,088",49,124,349,262
"Foreign languages, literatures, and linguistics .................................","15,127","9,927",692,"2,954",884,870,14,61,304,305,"14,826","9,534",669,"2,982",852,836,16,75,373,341
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"138,770","97,851","17,113","9,906","9,482","9,034",448,830,"1,814","1,774","152,930","106,262","18,956","11,933","10,568","10,070",498,912,"2,512","1,787"
"Homeland security, law enforcement, and firefighting ............................","26,134","12,888","7,129","4,615",613,536,77,259,472,158,"28,473","14,053","7,515","5,281",634,539,95,277,536,177
Legal professions and studies ..........................................,"3,206","1,886",637,423,149,142,7,23,48,40,"3,117","1,869",562,442,135,128,7,20,56,33
