"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2012-13 and 2013-14       ",,,,,,,,,,,,,,,,,,,,
Field of study,2012-13,,,,,,,,,,2013-14,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","787,408","535,358","67,351","74,067","59,806","57,560","2,246","4,611","13,834","32,381","801,692","535,839","68,259","80,297","59,848","57,610","2,238","4,171","18,138","35,140"
Agriculture and natural resources .........................,"16,618","14,127",418,864,496,463,33,139,300,274,"17,249","14,587",446,968,534,505,29,108,314,292
Architecture and related services ..................................,"5,581","3,685",284,756,446,432,14,22,82,306,"5,173","3,391",275,751,352,344,8,19,80,305
"Area, ethnic, cultural, gender, and group studies ...................................","2,623","1,292",320,419,329,309,20,84,104,75,"2,466","1,147",368,425,264,243,21,58,123,81
Biological and biomedical sciences .......................................,"41,556","26,198","2,363","3,578","7,183","7,074",109,221,857,"1,156","43,427","27,310","2,371","4,043","7,223","7,120",103,192,"1,171","1,117"
Business ......................................................,"187,843","124,498","17,299","16,842","13,879","13,310",569,979,"2,672","11,674","188,418","123,490","16,935","18,042","13,354","12,833",521,883,"3,412","12,302"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","30,148","21,603","3,317","2,698","1,165","1,091",74,144,535,686,"30,955","21,709","3,468","3,012","1,179","1,107",72,130,721,736
Communications technologies .......................................................................,"3,522","2,213",446,468,152,150,2,20,86,137,"3,415","2,158",428,468,129,116,13,22,109,101
Computer and information sciences ......................................,"41,874","26,960","4,359","3,619","4,075","3,933",142,218,744,"1,899","45,393","28,681","4,339","4,205","4,690","4,537",153,239,"1,057","2,182"
Construction trades ..................................................,225,173,6,30,5,3,2,1,9,1,243,187,8,32,11,9,2,1,4,0
Education ............................................................,"21,824","17,473","1,892","1,296",463,417,46,170,296,234,"20,353","16,222","1,767","1,221",448,392,56,127,341,227
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"69,430","46,200","2,738","5,565","8,214","8,056",158,277,"1,130","5,306","73,903","48,727","2,724","6,415","8,207","8,056",151,240,"1,662","5,928"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","14,742","10,668","1,414","1,194",624,594,30,149,166,527,"14,495","10,226","1,433","1,254",639,608,31,125,237,581
English language and literature/letters ...................................,"16,508","12,295","1,090","1,757",768,732,36,99,340,159,"15,809","11,512","1,103","1,777",700,663,37,93,476,148
Family and consumer sciences/human sciences .............................,"2,872","1,809",429,283,199,187,12,17,59,76,"3,014","1,852",462,317,225,213,12,16,65,77
"Foreign languages, literatures, and linguistics .................................","6,842","4,608",295,"1,162",426,412,14,43,176,132,"6,266","4,159",249,"1,179",329,314,15,31,188,131
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"28,208","18,305","3,104","2,502","3,050","2,900",150,189,503,555,"30,931","19,686","3,448","2,962","3,454","3,284",170,165,663,553
"Homeland security, law enforcement, and firefighting ............................","31,795","20,474","4,784","4,555","1,123","1,013",110,205,467,187,"33,383","21,222","4,969","4,954","1,140","1,003",137,224,646,228
Legal professions and studies ..........................................,"1,308",844,197,148,67,66,1,10,31,11,"1,456",898,210,198,70,67,3,14,27,39
